date,country,new_cases,new_deaths,new_recoveries,cumulative_cases,cumulative_deaths
2020-03-14,USA,372408,4877,349070,27004416,353622
2020-03-15,USA,407778,5337,382223,27412194,358959
2020-03-16,USA,418356,5480,392138,27830550,364439
2020-03-17,USA,439907,5762,412339,28270457,370201
2020-03-18,USA,397587,5207,372671,28668044,375408
2020-03-19,USA,390169,5112,365718,29058213,380520
2020-03-20,USA,394803,5169,370061,29453016,385689
2020-03-21,USA,421693,5521,395266,29874709,391210
2020-03-22,USA,408026,5338,382455,30282735,396548
2020-03-23,USA,388957,5095,364581,30671692,401643
2020-03-24,USA,407780,5341,382225,31079472,406984
2020-03-25,USA,397459,5201,372551,31476931,412185
2020-03-26,USA,412485,5398,386635,31889416,417583
2020-03-27,USA,377516,4942,353857,32266932,422525
2020-03-28,USA,382632,5012,358653,32649564,427537
2020-03-29,USA,379115,4964,355356,33028679,432501
2020-03-30,USA,356202,4663,333879,33384881,437164
2020-03-31,USA,387553,5073,363265,33772434,442237
2020-04-01,USA,384367,5031,360279,34156801,447268
2020-04-02,USA,376975,4933,353350,34533776,452201
2020-04-03,USA,369903,4841,346722,34903679,457042
2020-04-04,USA,345358,4520,323715,35249037,461562
2020-04-05,USA,361225,4732,338587,35610262,466294
2020-04-06,USA,359994,4714,337434,35970256,471008
2020-04-07,USA,348935,4568,327068,36319191,475576
2020-04-08,USA,357821,4690,335397,36677012,480266
2020-04-09,USA,365143,4780,342260,37042155,485046
2020-04-10,USA,388554,5090,364204,37430709,490136
2020-04-11,USA,355270,4655,333006,37785979,494791
2020-04-12,USA,353802,4630,331630,38139781,499421
2020-04-13,USA,345104,4519,323477,38484885,503940
2020-04-14,USA,310515,4065,291055,38795400,508005
2020-04-15,USA,340080,4452,318767,39135480,512457
2020-04-16,USA,338603,4435,317383,39474083,516892
2020-04-17,USA,375852,4921,352298,39849935,521813
2020-04-18,USA,328492,4301,307906,40178427,526114
2020-04-19,USA,333688,4369,312776,40512115,530483
2020-04-20,USA,325218,4258,304837,40837333,534741
2020-04-21,USA,303978,3978,284928,41141311,538719
2020-04-22,USA,338196,4430,317002,41479507,543149
2020-04-23,USA,328918,4309,308305,41808425,547458
2020-04-24,USA,326525,4276,306062,42134950,551734
2020-04-25,USA,297070,3889,278453,42432020,555623
2020-04-26,USA,329996,4320,309315,42762016,559943
2020-04-27,USA,284119,3719,266313,43046135,563662
2020-04-28,USA,311618,4085,292089,43357753,567747
2020-04-29,USA,332820,4360,311962,43690573,572107
2020-04-30,USA,282508,3698,264803,43973081,575805
2020-05-01,USA,286192,3748,268257,44259273,579553
2020-05-02,USA,293328,3840,274945,44552601,583393
2020-05-03,USA,281976,3694,264305,44834577,587087
2020-05-04,USA,264459,3464,247885,45099036,590551
2020-05-05,USA,285141,3736,267271,45384177,594287
2020-05-06,USA,266731,3491,250015,45650908,597778
2020-05-07,USA,285889,3744,267972,45936797,601522
2020-05-08,USA,264181,3456,247625,46200978,604978
2020-05-09,USA,295887,3872,277344,46496865,608850
2020-05-10,USA,261690,3428,245290,46758555,612278
2020-05-11,USA,265820,3479,249161,47024375,615757
2020-05-12,USA,278953,3651,261471,47303328,619408
2020-05-13,USA,249620,3269,233976,47552948,622677
2020-05-14,USA,267005,3498,250272,47819953,626175
2020-05-15,USA,279212,3654,261714,48099165,629829
2020-05-16,USA,239314,3127,224316,48338479,632956
2020-05-17,USA,260840,3414,244493,48599319,636370
2020-05-18,USA,260087,3408,243787,48859406,639778
2020-05-19,USA,265095,3472,248482,49124501,643250
2020-05-20,USA,237885,3118,222977,49362386,646368
2020-05-21,USA,235449,3081,220693,49597835,649449
2020-05-22,USA,257242,3365,241121,49855077,652814
2020-05-23,USA,253087,3315,237226,50108164,656129
2020-05-24,USA,251256,3291,235510,50359420,659420
2020-05-25,USA,251273,3291,235526,50610693,662711
2020-05-26,USA,237560,3113,222672,50848253,665824
2020-05-27,USA,247779,3245,232251,51096032,669069
2020-05-28,USA,247605,3243,232088,51343637,672312
2020-05-29,USA,234519,3072,219822,51578156,675384
2020-05-30,USA,265090,3472,248477,51843246,678856
2020-05-31,USA,247545,3243,232031,52090791,682099
2020-06-01,USA,226875,2973,212657,52317666,685072
2020-06-02,USA,248665,3259,233081,52566331,688331
2020-06-03,USA,228645,2993,214316,52794976,691324
2020-06-04,USA,249490,3268,233855,53044466,694592
2020-06-05,USA,253703,3321,237804,53298169,697913
2020-06-06,USA,229824,3008,215421,53527993,700921
2020-06-07,USA,251134,3287,235396,53779127,704208
2020-06-08,USA,244553,3203,229227,54023680,707411
2020-06-09,USA,249556,3269,233916,54273236,710680
2020-06-10,USA,262632,3440,246173,54535868,714120
2020-06-11,USA,237190,3105,222325,54773058,717225
2020-06-12,USA,231408,3030,216906,55004466,720255
2020-06-13,USA,230170,3016,215745,55234636,723271
2020-06-14,USA,231527,3029,217017,55466163,726300
2020-06-15,USA,241006,3156,225902,55707169,729456
2020-06-16,USA,246715,3231,231253,55953884,732687
2020-06-17,USA,246654,3231,231196,56200538,735918
2020-06-18,USA,254165,3325,238237,56454703,739243
2020-06-19,USA,245080,3212,229721,56699783,742455
2020-06-20,USA,263708,3454,247182,56963491,745909
2020-06-21,USA,243558,3190,228294,57207049,749099
2020-06-22,USA,281589,3686,263942,57488638,752785
2020-06-23,USA,256774,3363,240682,57745412,756148
2020-06-24,USA,239433,3135,224428,57984845,759283
2020-06-25,USA,237923,3118,223012,58222768,762401
2020-06-26,USA,258765,3385,242548,58481533,765786
2020-06-27,USA,251170,3289,235429,58732703,769075
2020-06-28,USA,264517,3465,247940,58997220,772540
2020-06-29,USA,262917,3442,246440,59260137,775982
2020-06-30,USA,257385,3369,241255,59517522,779351
2020-07-01,USA,248854,3258,233258,59766376,782609
2020-07-02,USA,241628,3164,226485,60008004,785773
2020-07-03,USA,257171,3364,241054,60265175,789137
2020-07-04,USA,276029,3616,258730,60541204,792753
2020-07-05,USA,269230,3524,252357,60810434,796277
2020-07-06,USA,251395,3292,235640,61061829,799569
2020-07-07,USA,272178,3565,255121,61334007,803134
2020-07-08,USA,276846,3624,259496,61610853,806758
2020-07-09,USA,261325,3422,244948,61872178,810180
2020-07-10,USA,277342,3628,259961,62149520,813808
2020-07-11,USA,277868,3640,260454,62427388,817448
2020-07-12,USA,262971,3446,246491,62690359,820894
2020-07-13,USA,285799,3739,267888,62976158,824633
2020-07-14,USA,290575,3804,272365,63266733,828437
2020-07-15,USA,299938,3925,281141,63566671,832362
2020-07-16,USA,301506,3948,282611,63868177,836310
2020-07-17,USA,268439,3516,251616,64136616,839826
2020-07-18,USA,276577,3624,259244,64413193,843450
2020-07-19,USA,299587,3925,280812,64712780,847375
2020-07-20,USA,301490,3951,282596,65014270,851326
2020-07-21,USA,303420,3973,284405,65317690,855299
2020-07-22,USA,354996,4646,332749,65672686,859945
2020-07-23,USA,308038,4033,288733,65980724,863978
2020-07-24,USA,318415,4171,298460,66299139,868149
2020-07-25,USA,317562,4156,297661,66616701,872305
2020-07-26,USA,314806,4126,295077,66931507,876431
2020-07-27,USA,301789,3954,282876,67233296,880385
2020-07-28,USA,320042,4190,299985,67553338,884575
2020-07-29,USA,298046,3901,279368,67851384,888476
2020-07-30,USA,307988,4032,288687,68159372,892508
2020-07-31,USA,305691,4003,286534,68465063,896511
2020-08-01,USA,316161,4140,296347,68781224,900651
2020-08-02,USA,353028,4625,330904,69134252,905276
2020-08-03,USA,288217,3773,270155,69422469,909049
2020-08-04,USA,330302,4326,309602,69752771,913375
2020-08-05,USA,294876,3861,276396,70047647,917236
2020-08-06,USA,314486,4119,294777,70362133,921355
2020-08-07,USA,340989,4465,319620,70703122,925820
2020-08-08,USA,325662,4266,305253,71028784,930086
2020-08-09,USA,308243,4038,288926,71337027,934124
2020-08-10,USA,315230,4129,295475,71652257,938253
2020-08-11,USA,339131,4442,317878,71991388,942695
2020-08-12,USA,316970,4149,297106,72308358,946844
2020-08-13,USA,333491,4368,312591,72641849,951212
2020-08-14,USA,331543,4344,310765,72973392,955556
2020-08-15,USA,320787,4202,300684,73294179,959758
2020-08-16,USA,367950,4816,344891,73662129,964574
2020-08-17,USA,343541,4499,322012,74005670,969073
2020-08-18,USA,299797,3926,281009,74305467,972999
2020-08-19,USA,337208,4414,316075,74642675,977413
2020-08-20,USA,323466,4233,303195,74966141,981646
2020-08-21,USA,349179,4572,327296,75315320,986218
2020-08-22,USA,321911,4214,301737,75637231,990432
2020-08-23,USA,333484,4367,312585,75970715,994799
2020-08-24,USA,344016,4502,322457,76314731,999301
2020-08-25,USA,350128,4586,328186,76664859,1003887
2020-08-26,USA,315436,4129,295668,76980295,1008016
2020-08-27,USA,329862,4321,309190,77310157,1012337
2020-08-28,USA,327326,4286,306813,77637483,1016623
2020-08-29,USA,324079,4244,303769,77961562,1020867
2020-08-30,USA,364221,4769,341396,78325783,1025636
2020-08-31,USA,341016,4464,319645,78666799,1030100
2020-09-01,USA,312696,4100,293100,78979495,1034200
2020-09-02,USA,348435,4562,326599,79327930,1038762
2020-09-03,USA,367751,4818,344704,79695681,1043580
2020-09-04,USA,348841,4566,326979,80044522,1048146
2020-09-05,USA,305740,4004,286579,80350262,1052150
2020-09-06,USA,321970,4217,301792,80672232,1056367
2020-09-07,USA,349799,4581,327877,81022031,1060948
2020-09-08,USA,316278,4140,296457,81338309,1065088
2020-09-09,USA,333971,4373,313041,81672280,1069461
2020-09-10,USA,338089,4426,316901,82010369,1073887
2020-09-11,USA,309139,4053,289765,82319508,1077940
2020-09-12,USA,321808,4214,301641,82641316,1082154
2020-09-13,USA,269223,3526,252351,82910539,1085680
2020-09-14,USA,303370,3976,284358,83213909,1089656
2020-09-15,USA,314108,4111,294423,83528017,1093767
2020-09-16,USA,296686,3885,278093,83824703,1097652
2020-09-17,USA,340344,4456,319015,84165047,1102108
2020-09-18,USA,290448,3803,272246,84455495,1105911
2020-09-19,USA,304066,3981,285010,84759561,1109892
2020-09-20,USA,310947,4070,291460,85070508,1113962
2020-09-21,USA,328996,4309,308378,85399504,1118271
2020-09-22,USA,282885,3702,265157,85682389,1121973
2020-09-23,USA,320188,4195,300122,86002577,1126168
2020-09-24,USA,300502,3936,281670,86303079,1130104
2020-09-25,USA,283418,3710,265656,86586497,1133814
2020-09-26,USA,302517,3960,283558,86889014,1137774
2020-09-27,USA,296185,3879,277623,87185199,1141653
2020-09-28,USA,282063,3692,264386,87467262,1145345
2020-09-29,USA,289267,3791,271139,87756529,1149136
2020-09-30,USA,280176,3669,262618,88036705,1152805
2020-10-01,USA,284655,3728,266816,88321360,1156533
2020-10-02,USA,289650,3794,271498,88611010,1160327
2020-10-03,USA,299660,3923,280880,88910670,1164250
2020-10-04,USA,257857,3379,241697,89168527,1167629
2020-10-05,USA,301075,3943,282207,89469602,1171572
2020-10-06,USA,242926,3183,227702,89712528,1174755
2020-10-07,USA,264291,3460,247728,89976819,1178215
2020-10-08,USA,271133,3553,254141,90247952,1181768
2020-10-09,USA,264083,3459,247533,90512035,1185227
2020-10-10,USA,249415,3270,233784,90761450,1188497
2020-10-11,USA,251760,3296,235982,91013210,1191793
2020-10-12,USA,245162,3211,229798,91258372,1195004
2020-10-13,USA,240966,3153,225865,91499338,1198157
2020-10-14,USA,255602,3346,239584,91754940,1201503
2020-10-15,USA,246389,3228,230948,92001329,1204731
2020-10-16,USA,230652,3022,216197,92231981,1207753
2020-10-17,USA,246383,3232,230942,92478364,1210985
2020-10-18,USA,236184,3092,221382,92714548,1214077
2020-10-19,USA,238757,3124,223794,92953305,1217201
2020-10-20,USA,233366,3057,218741,93186671,1220258
2020-10-21,USA,213801,2797,200402,93400472,1223055
2020-10-22,USA,213687,2799,200295,93614159,1225854
2020-10-23,USA,224737,2942,210653,93838896,1228796
2020-10-24,USA,219951,2880,206167,94058847,1231676
2020-10-25,USA,210013,2752,196851,94268860,1234428
2020-10-26,USA,208248,2727,195197,94477108,1237155
2020-10-27,USA,216862,2841,203271,94693970,1239996
2020-10-28,USA,194716,2551,182513,94888686,1242547
2020-10-29,USA,202877,2653,190163,95091563,1245200
2020-10-30,USA,192345,2517,180291,95283908,1247717
2020-10-31,USA,189077,2473,177227,95472985,1250190
2020-11-01,USA,198354,2601,185923,95671339,1252791
2020-11-02,USA,192537,2521,180471,95863876,1255312
2020-11-03,USA,189203,2481,177346,96053079,1257793
2020-11-04,USA,190399,2490,178467,96243478,1260283
2020-11-05,USA,175863,2302,164842,96419341,1262585
2020-11-06,USA,178539,2339,167350,96597880,1264924
2020-11-07,USA,167019,2187,156552,96764899,1267111
2020-11-08,USA,169383,2219,158768,96934282,1269330
2020-11-09,USA,162675,2127,152480,97096957,1271457
2020-11-10,USA,161613,2119,151485,97258570,1273576
2020-11-11,USA,162661,2131,152467,97421231,1275707
2020-11-12,USA,148776,1949,139452,97570007,1277656
2020-11-13,USA,168261,2202,157716,97738268,1279858
2020-11-14,USA,142038,1860,133136,97880306,1281718
2020-11-15,USA,137925,1805,129281,98018231,1283523
2020-11-16,USA,152512,1994,142954,98170743,1285517
2020-11-17,USA,147131,1926,137910,98317874,1287443
2020-11-18,USA,143274,1876,134295,98461148,1289319
2020-11-19,USA,140680,1844,131863,98601828,1291163
2020-11-20,USA,133816,1748,125430,98735644,1292911
2020-11-21,USA,125553,1644,117684,98861197,1294555
2020-11-22,USA,129544,1694,121425,98990741,1296249
2020-11-23,USA,122418,1603,114746,99113159,1297852
2020-11-24,USA,130483,1709,122305,99243642,1299561
2020-11-25,USA,121278,1588,113677,99364920,1301149
2020-11-26,USA,115038,1508,107828,99479958,1302657
2020-11-27,USA,115968,1516,108700,99595926,1304173
2020-11-28,USA,118182,1549,110775,99714108,1305722
2020-11-29,USA,110569,1446,103639,99824677,1307168
2020-11-30,USA,107223,1401,100503,99931900,1308569
2020-12-01,USA,111265,1456,104292,100043165,1310025
2020-12-02,USA,109414,1428,102557,100152579,1311453
2020-12-03,USA,103620,1357,97126,100256199,1312810
2020-12-04,USA,102139,1337,95738,100358338,1314147
2020-12-05,USA,104148,1366,97621,100462486,1315513
2020-12-06,USA,94027,1232,88134,100556513,1316745
2020-12-07,USA,92818,1212,87001,100649331,1317957
2020-12-08,USA,94854,1240,88909,100744185,1319197
2020-12-09,USA,95962,1257,89948,100840147,1320454
2020-12-10,USA,97159,1274,91070,100937306,1321728
2020-12-11,USA,101378,1330,95024,101038684,1323058
2020-12-12,USA,97217,1275,91124,101135901,1324333
2020-12-13,USA,91357,1196,85631,101227258,1325529
2020-12-14,USA,90949,1191,85249,101318207,1326720
2020-12-15,USA,85531,1122,80170,101403738,1327842
2020-12-16,USA,89042,1165,83461,101492780,1329007
2020-12-17,USA,86998,1140,81546,101579778,1330147
2020-12-18,USA,88900,1163,83328,101668678,1331310
2020-12-19,USA,83184,1088,77971,101751862,1332398
2020-12-20,USA,88366,1157,82828,101840228,1333555
2020-12-21,USA,92111,1204,86338,101932339,1334759
2020-12-22,USA,84584,1107,79283,102016923,1335866
2020-12-23,USA,86311,1128,80902,102103234,1336994
2020-12-24,USA,87152,1140,81690,102190386,1338134
2020-12-25,USA,82263,1078,77107,102272649,1339212
2020-12-26,USA,84659,1107,79353,102357308,1340319
2020-12-27,USA,83616,1095,78375,102440924,1341414
2020-12-28,USA,83884,1098,78627,102524808,1342512
2020-12-29,USA,80232,1051,75204,102605040,1343563
2020-12-30,USA,83612,1094,78372,102688652,1344657
2020-12-31,USA,85714,1124,80342,102774366,1345781
2021-01-01,USA,89904,1173,84269,102864270,1346954
2021-01-02,USA,88114,1159,82592,102952384,1348113
2021-01-03,USA,93497,1222,87637,103045881,1349335
2021-01-04,USA,81549,1068,76438,103127430,1350403
2021-01-05,USA,88987,1163,83410,103216417,1351566
2021-01-06,USA,86586,1135,81159,103303003,1352701
2021-01-07,USA,95860,1255,89852,103398863,1353956
2021-01-08,USA,83544,1092,78308,103482407,1355048
2021-01-09,USA,84108,1103,78837,103566515,1356151
2021-01-10,USA,85937,1125,80551,103652452,1357276
2021-01-11,USA,79954,1048,74943,103732406,1358324
2021-01-12,USA,88008,1150,82492,103820414,1359474
2021-01-13,USA,87907,1151,82398,103908321,1360625
2021-01-14,USA,93128,1223,87291,104001449,1361848
2021-01-15,USA,95150,1248,89187,104096599,1363096
2021-01-16,USA,103621,1357,97127,104200220,1364453
2021-01-17,USA,100537,1315,94236,104300757,1365768
2021-01-18,USA,94472,1237,88551,104395229,1367005
2021-01-19,USA,94210,1234,88306,104489439,1368239
2021-01-20,USA,102527,1343,96101,104591966,1369582
2021-01-21,USA,94842,1239,88898,104686808,1370821
2021-01-22,USA,112527,1475,105475,104799335,1372296
2021-01-23,USA,110855,1449,103907,104910190,1373745
2021-01-24,USA,103836,1363,97328,105014026,1375108
2021-01-25,USA,98781,1292,92590,105112807,1376400
2021-01-26,USA,117230,1535,109883,105230037,1377935
2021-01-27,USA,110969,1455,104014,105341006,1379390
2021-01-28,USA,120496,1577,112944,105461502,1380967
2021-01-29,USA,106185,1391,99530,105567687,1382358
2021-01-30,USA,113831,1493,106697,105681518,1383851
2021-01-31,USA,119391,1564,111909,105800909,1385415
2021-02-01,USA,121703,1594,114076,105922612,1387009
2021-02-02,USA,120741,1577,113174,106043353,1388586
2021-02-03,USA,129583,1695,121462,106172936,1390281
2021-02-04,USA,121033,1587,113448,106293969,1391868
2021-02-05,USA,129166,1692,121071,106423135,1393560
2021-02-06,USA,133161,1745,124816,106556296,1395305
2021-02-07,USA,138141,1810,129484,106694437,1397115
2021-02-08,USA,141901,1860,133008,106836338,1398975
2021-02-09,USA,131569,1722,123323,106967907,1400697
2021-02-10,USA,130948,1715,122741,107098855,1402412
2021-02-11,USA,153498,2008,143878,107252353,1404420
2021-02-12,USA,149202,1951,139851,107401555,1406371
2021-02-13,USA,143688,1878,134683,107545243,1408249
2021-02-14,USA,163592,2140,153340,107708835,1410389
2021-02-15,USA,155276,2036,145545,107864111,1412425
2021-02-16,USA,166231,2173,155813,108030342,1414598
2021-02-17,USA,160127,2096,150092,108190469,1416694
2021-02-18,USA,178941,2340,167727,108369410,1419034
2021-02-19,USA,179351,2347,168111,108548761,1421381
2021-02-20,USA,165465,2167,155095,108714226,1423548
2021-02-21,USA,178509,2336,167322,108892735,1425884
2021-02-22,USA,178521,2340,167333,109071256,1428224
2021-02-23,USA,187675,2460,175913,109258931,1430684
2021-02-24,USA,169770,2218,159130,109428701,1432902
2021-02-25,USA,187323,2451,175583,109616024,1435353
2021-02-26,USA,193578,2535,181446,109809602,1437888
2021-02-27,USA,170180,2230,159515,109979782,1440118
2021-02-28,USA,178132,2331,166968,110157914,1442449
2021-03-01,USA,172493,2258,161683,110330407,1444707
2021-03-02,USA,192198,2514,180153,110522605,1447221
2021-03-03,USA,204652,2677,191826,110727257,1449898
2021-03-04,USA,215344,2823,201848,110942601,1452721
2021-03-05,USA,203775,2665,191004,111146376,1455386
2021-03-06,USA,222495,2918,208551,111368871,1458304
2021-03-07,USA,194059,2542,181897,111562930,1460846
2021-03-08,USA,193152,2530,181047,111756082,1463376
2021-03-09,USA,213217,2793,199855,111969299,1466169
2021-03-10,USA,220625,2888,206798,112189924,1469057
2021-03-11,USA,218747,2865,205038,112408671,1471922
2021-03-12,USA,198799,2603,186340,112607470,1474525
2021-03-13,USA,223313,2925,209318,112830783,1477450
2021-03-14,USA,212079,2777,198788,113042862,1480227
2021-03-15,USA,237098,3103,222239,113279960,1483330
2021-03-16,USA,236174,3091,221373,113516134,1486421
2021-03-17,USA,223382,2923,209383,113739516,1489344
2021-03-18,USA,230754,3023,216293,113970270,1492367
2021-03-19,USA,226573,2966,212374,114196843,1495333
2021-03-20,USA,240855,3150,225761,114437698,1498483
2021-03-21,USA,255591,3348,239573,114693289,1501831
2021-03-22,USA,234090,3068,219420,114927379,1504899
2021-03-23,USA,254732,3337,238768,115182111,1508236
2021-03-24,USA,244020,3194,228727,115426131,1511430
2021-03-25,USA,242793,3176,227577,115668924,1514606
2021-03-26,USA,253554,3320,237664,115922478,1517926
2021-03-27,USA,243666,3190,228396,116166144,1521116
2021-03-28,USA,251797,3295,236017,116417941,1524411
2021-03-29,USA,245282,3213,229910,116663223,1527624
2021-03-30,USA,288617,3783,270530,116951840,1531407
2021-03-31,USA,265096,3472,248483,117216936,1534879
2021-04-01,USA,257081,3367,240970,117474017,1538246
2021-04-02,USA,270982,3546,254000,117744999,1541792
2021-04-03,USA,268248,3515,251437,118013247,1545307
2021-04-04,USA,268352,3514,251534,118281599,1548821
2021-04-05,USA,281253,3682,263627,118562852,1552503
2021-04-06,USA,284720,3728,266877,118847572,1556231
2021-04-07,USA,268404,3516,251583,119115976,1559747
2021-04-08,USA,269062,3524,252200,119385038,1563271
2021-04-09,USA,274462,3596,257262,119659500,1566867
2021-04-10,USA,247302,3239,231804,119906802,1570106
2021-04-11,USA,259321,3395,243069,120166123,1573501
2021-04-12,USA,300864,3941,282009,120466987,1577442
2021-04-13,USA,305822,4006,286656,120772809,1581448
2021-04-14,USA,279937,3663,262393,121052746,1585111
2021-04-15,USA,292476,3832,274147,121345222,1588943
2021-04-16,USA,289454,3790,271314,121634676,1592733
2021-04-17,USA,329661,4316,309001,121964337,1597049
2021-04-18,USA,302288,3960,283344,122266625,1601009
2021-04-19,USA,284934,3733,267077,122551559,1604742
2021-04-20,USA,273474,3580,256336,122825033,1608322
2021-04-21,USA,264448,3464,247875,123089481,1611786
2021-04-22,USA,290744,3806,272523,123380225,1615592
2021-04-23,USA,277115,3632,259748,123657340,1619224
2021-04-24,USA,267629,3503,250857,123924969,1622727
2021-04-25,USA,278835,3652,261361,124203804,1626379
2021-04-26,USA,272523,3567,255444,124476327,1629946
2021-04-27,USA,312272,4094,292702,124788599,1634040
2021-04-28,USA,300458,3932,281628,125089057,1637972
2021-04-29,USA,287371,3764,269362,125376428,1641736
2021-04-30,USA,308369,4037,289044,125684797,1645773
2021-05-01,USA,287787,3768,269752,125972584,1649541
2021-05-02,USA,273832,3587,256671,126246416,1653128
2021-05-03,USA,307304,4027,288045,126553720,1657155
2021-05-04,USA,292555,3834,274221,126846275,1660989
2021-05-05,USA,269387,3524,252505,127115662,1664513
2021-05-06,USA,280596,3675,263011,127396258,1668188
2021-05-07,USA,270022,3539,253100,127666280,1671727
2021-05-08,USA,261946,3427,245530,127928226,1675154
2021-05-09,USA,293331,3842,274948,128221557,1678996
2021-05-10,USA,305877,4005,286708,128527434,1683001
2021-05-11,USA,258573,3387,242368,128786007,1686388
2021-05-12,USA,284533,3724,266701,129070540,1690112
2021-05-13,USA,266438,3486,249740,129336978,1693598
2021-05-14,USA,267311,3496,250559,129604289,1697094
2021-05-15,USA,264430,3465,247858,129868719,1700559
2021-05-16,USA,259247,3397,243000,130127966,1703956
2021-05-17,USA,269992,3536,253072,130397958,1707492
2021-05-18,USA,256537,3358,240460,130654495,1710850
2021-05-19,USA,269512,3526,252622,130924007,1714376
2021-05-20,USA,263447,3451,246937,131187454,1717827
2021-05-21,USA,259112,3391,242874,131446566,1721218
2021-05-22,USA,248507,3253,232933,131695073,1724471
2021-05-23,USA,250888,3284,235165,131945961,1727755
2021-05-24,USA,265982,3482,249313,132211943,1731237
2021-05-25,USA,260575,3411,244245,132472518,1734648
2021-05-26,USA,239741,3139,224716,132712259,1737787
2021-05-27,USA,251107,3287,235370,132963366,1741074
2021-05-28,USA,256923,3366,240822,133220289,1744440
2021-05-29,USA,224846,2946,210755,133445135,1747386
2021-05-30,USA,249587,3268,233945,133694722,1750654
2021-05-31,USA,232628,3047,218049,133927350,1753701
2021-06-01,USA,244968,3212,229616,134172318,1756913
2021-06-02,USA,226708,2966,212500,134399026,1759879
2021-06-03,USA,212150,2775,198855,134611176,1762654
2021-06-04,USA,211879,2776,198601,134823055,1765430
2021-06-05,USA,228619,2997,214291,135051674,1768427
2021-06-06,USA,228384,2990,214071,135280058,1771417
2021-06-07,USA,212734,2789,199402,135492792,1774206
